C:\Test.Xpress Projects\Tubo Kunt Flávia\Data\Cortica.3_M2.xdf;03.10.19;11:54:33;;;
;C1:  Time[s];C1:  [Pa];C2:  Time[s];C2:  [Pa];M1: FRF(C1,C2) Frequency[Hz];M1: FRF(C1,C2) [](A);;M2: FRF(C2,C1) Frequency[Hz];M2: FRF(C2,C1) [](A);;M3: FFT(C1) Frequency[Hz];M3: FFT(C1) [Pa](A);;M4: FFT(C2) Frequency[Hz];M4: FFT(C2) [Pa](A);;M5: PHASE(M1) Frequency[Hz];M5: PHASE(M1) Phase[°](A);M6: PHASE(M2) Frequency[Hz];M6: PHASE(M2) Phase[°](A)
Unit;s;Pa;s;Pa;Hz;;;Hz;;;Hz;Pa;;Hz;Pa;;Hz;°;Hz;°
Sensor;;;;;;;;;;;;;;;;;;;;
PointId;;;;;;;;;;;;;;;;;;;;
PointDir;;'';;'';;'';;;'';;;'';;;'';;;'';;''
Info1;;;;;;;;;;;;;;;;;;;;
Info2;;;;;;;;;;;;;;;;;;;;
Info3;;;;;;;;;;;;;;;;;;;;
Info4;;;;;;;;;;;;;;;;;;;;
Z Axis;;;;;;;;;;;;;;;;
;0,02;-0,19;0,02;-1,79;368,00;0,40;0,00;368,00;0,73;-0,01;368,00;0,01;0,01;368,00;0,01;0,01;368,00;0,71;368,00;-0,71
;0,02;-1,13;0,02;-2,05;372,00;0,40;0,01;372,00;0,74;-0,01;372,00;-0,01;-0,01;372,00;-0,01;-0,01;372,00;0,73;372,00;-0,73
;0,02;-2,89;0,02;-0,36;376,00;0,40;0,00;376,00;0,75;-0,01;376,00;0,02;0,01;376,00;0,02;0,01;376,00;0,70;376,00;-0,70
;0,02;-2,14;0,02;-0,94;380,00;0,40;0,00;380,00;0,77;-0,01;380,00;-0,02;-0,00;380,00;-0,01;-0,00;380,00;0,68;380,00;-0,68
;0,02;0,28;0,02;0,67;384,00;0,40;0,00;384,00;0,78;-0,01;384,00;0,02;-0,01;384,00;0,01;-0,00;384,00;0,72;384,00;-0,72
;0,02;3,19;0,02;2,41;388,00;0,40;0,01;388,00;0,79;-0,01;388,00;-0,03;0,02;388,00;-0,02;0,02;388,00;0,72;388,00;-0,72
;0,02;4,82;0,02;1,91;392,00;0,40;0,01;392,00;0,81;-0,01;392,00;0,04;-0,04;392,00;0,03;-0,03;392,00;0,75;392,00;-0,75
;0,02;3,39;0,02;1,78;396,00;0,40;0,01;396,00;0,82;-0,01;396,00;-0,01;0,03;396,00;-0,01;0,02;396,00;0,76;396,00;-0,76
;0,02;-0,18;0,02;-0,04;400,00;0,40;0,01;400,00;0,83;-0,01;400,00;-0,03;-0,02;400,00;-0,02;-0,02;400,00;0,83;400,00;-0,83
;0,02;-3,30;0,02;-1,17;404,00;0,40;0,01;404,00;0,85;-0,01;404,00;0,05;-0,01;404,00;0,03;-0,00;404,00;0,84;404,00;-0,84
;0,02;-4,14;0,02;-3,55;408,00;0,40;0,01;408,00;0,86;-0,01;408,00;-0,01;0,05;408,00;-0,00;0,03;408,00;0,79;408,00;-0,79
;0,03;-4,44;0,03;-5,41;412,00;0,40;0,01;412,00;0,88;-0,01;412,00;-0,06;-0,02;412,00;-0,04;-0,01;412,00;0,75;412,00;-0,75
;0,03;-5,43;0,03;-3,96;416,00;0,40;0,01;416,00;0,89;-0,01;416,00;0,05;-0,00;416,00;0,03;-0,00;416,00;0,79;416,00;-0,79
;0,03;-5,08;0,03;-3,29;420,00;0,40;0,01;420,00;0,91;-0,01;420,00;-0,02;0,02;420,00;-0,02;0,01;420,00;0,85;420,00;-0,85
;0,03;-2,73;0,03;-2,62;424,00;0,40;0,01;424,00;0,92;-0,01;424,00;0,04;-0,02;424,00;0,03;-0,01;424,00;0,76;424,00;-0,76
;0,03;-0,22;0,03;-0,31;428,00;0,40;0,01;428,00;0,94;-0,01;428,00;-0,03;0,02;428,00;-0,02;0,01;428,00;0,77;428,00;-0,77
;0,03;2,10;0,03;1,31;432,00;0,40;0,01;432,00;0,95;-0,01;432,00;0,01;-0,04;432,00;0,01;-0,02;432,00;0,87;432,00;-0,87
;0,03;3,19;0,03;1,16;436,00;0,40;0,01;436,00;0,97;-0,01;436,00;-0,03;0,03;436,00;-0,02;0,02;436,00;0,89;436,00;-0,89
;0,03;2,06;0,03;1,07;440,00;0,39;0,01;440,00;0,99;-0,02;440,00;0,03;0,00;440,00;0,02;0,00;440,00;0,90;440,00;-0,90
;0,03;-0,34;0,03;0,32;444,00;0,39;0,01;444,00;1,00;-0,02;444,00;0,00;0,00;444,00;-0,00;0,00;444,00;0,93;444,00;-0,93
;0,03;-1,88;0,03;-0,36;448,00;0,39;0,01;448,00;1,02;-0,01;448,00;-0,01;-0,04;448,00;-0,01;-0,03;448,00;0,82;448,00;-0,82
;0,03;-1,78;0,03;-1,82;452,00;0,39;0,01;452,00;1,04;-0,02;452,00;-0,01;0,04;452,00;-0,01;0,03;452,00;0,80;452,00;-0,80
